"id","ind","respuesta"
"acuddeh2014041603",810,"-1"
"acuddeh2014041604",811,"-1"
"cerezo2014041701",812,"-1"
"pr2014042201",813,"-1"
"rsf2014042501",814,"-1"
"pr2014050101",815,"-1"
"a192014050201",816,"-1"
"pr2014050201",817,"-1"
"a192014050501",818,"-1"
"a192014050601",819,"-1"
"a192014050901",820,"-1"
"a192014051001",821,"-1"
"a192014051301",822,"-1"
"pr2014051301",823,"-1"
"pr2014052301",824,"-1"
"rsf2014052401",825,"-1"
"a192014052701",826,"-1"
"pr2014052801",827,"-1"
"a192014052901",828,"-1"
"pr2014052901",829,"-1"
"pr2014052902",830,"-1"
"pr2014052903",831,"-1"
"prodh2014053001",832,"-1"
"rsf2014060401",833,"-1"
"pr2014060501",834,"-1"
"cpj2014060501",835,"-1"
"a192014060501",836,"-1"
"cerezo2014060601",837,"-1"
"acuddeh2014060701",838,"-1"
"acuddeh2014060801",839,"-1"
"a192014061001",840,"-1"
"pr2014061001",841,"-1"
"a192014061201",842,"-1"
"prodh2014061301",843,"-1"
"acuddeh2014061301",844,"-1"
"acuddeh2014061401",845,"-1"
"a192014061501",846,"-1"
"a192014061601",847,"-1"
"acuddeh2014061701",848,"-1"
"pr2014061801",849,"-1"
"prodh2014061901",850,"-1"
"rtdt2014061901",851,"-1"
"acuddeh2014061901",852,"-1"
"pr2014062301",853,"-1"
"pr2014062302",854,"-1"
"prodh2014062401",855,"-1"
"acuddeh2014062401",856,"-1"
"acuddeh2014062402",857,"-1"
"prodh2014062402",858,"-1"
"acuddeh2014062403",859,"-1"
"pr2014062501",860,"-1"
"a192014062501",861,"-1"
"a192014062502",862,"-1"
"pr2014062801",863,"-1"
"pr2014070101",864,"-1"
"pr2014070102",865,"-1"
"a192014070101",866,"-1"
"rsf2014070301",867,"-1"
"a192014070301",868,"-1"
"rsf2014070401",869,"-1"
"pr2014070901",870,"-1"
